t_s,hour,capacity_kw,total_req_kw,total_flex_req_kw,total_served_kw,total_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw,ev_charging_req_kw,ev_charging_served_kw,ev_charging_unmet_kw,ev_charging_flex_req_kw,ev_charging_flex_served_kw,ev_charging_flex_unmet_kw
9300,8.583333333333334,220.0,266.0196800024951,85,220.0,131.0196800024951,74.72051297433454,74.72051297433454,0.0,5,0.0,5.0,69.74078903252624,69.74078903252624,0.0,18,0.0,18.0,53.303254588684794,53.303254588684794,0.0,12,0.0,12.0,54.11797929602169,22.235443404454415,31.882535891567272,15,0.0,15.0,14.137144110927828,0.0,14.137144110927828,35,0.0,35.0
9600,8.666666666666666,220.0,271.39658154372734,85,220.0,136.39658154372734,80.14168899542915,80.14168899542915,0.0,5,0.0,5.0,70.62378599436948,70.62378599436948,0.0,18,0.0,18.0,54.46548800296218,54.46548800296218,0.0,12,0.0,12.0,53.147588612110404,14.769037007239184,38.37855160487122,15,0.0,15.0,13.018029938856115,0.0,13.018029938856115,35,0.0,35.0
9900,8.75,220.0,271.35758913803323,85,220.0,136.35758913803326,79.2216197303911,79.2216197303911,0.0,5,0.0,5.0,69.19884699846003,69.19884699846003,0.0,18,0.0,18.0,57.099307672438144,57.099307672438144,0.0,12,0.0,12.0,52.78476407229159,14.480225598710732,38.304538473580855,15,0.0,15.0,13.053050664452403,0.0,13.053050664452403,35,0.0,35.0
10200,8.833333333333334,220.0,277.18112843018315,85,220.0,142.18112843018315,79.23128493144803,79.23128493144803,0.0,5,0.0,5.0,71.89805865861891,71.89805865861891,0.0,18,0.0,18.0,57.151940757064054,57.151940757064054,0.0,12,0.0,12.0,55.10677041541463,11.718715652868994,43.388054762545636,15,0.0,15.0,13.793073667637525,0.0,13.793073667637525,35,0.0,35.0
10500,8.916666666666666,220.0,264.46740743809335,85,220.0,129.46740743809332,78.31069760159485,78.31069760159485,0.0,5,0.0,5.0,66.20673948328425,66.20673948328425,0.0,18,0.0,18.0,54.86809666590612,54.86809666590612,0.0,12,0.0,12.0,52.41285845658535,20.61446624921477,31.798392207370576,15,0.0,15.0,12.669015230722751,0.0,12.669015230722751,35,0.0,35.0
10800,9.0,220.0,259.04259524135426,85,220.0,124.04259524135428,72.45516842150238,72.45516842150238,0.0,5,0.0,5.0,65.97484951988996,65.97484951988996,0.0,18,0.0,18.0,52.94738886164796,52.94738886164796,0.0,12,0.0,12.0,53.85318405427873,28.622593196959706,25.230590857319022,15,0.0,15.0,13.812004384035253,0.0,13.812004384035253,35,0.0,35.0
11100,9.083333333333334,220.0,268.8758051220062,85,220.0,133.87580512200626,75.15112415911778,75.15112415911778,0.0,5,0.0,5.0,69.68772476242893,69.68772476242893,0.0,18,0.0,18.0,56.27858327940226,56.27858327940226,0.0,12,0.0,12.0,54.825871164150364,18.882567799051024,35.94330336509934,15,0.0,15.0,12.93250175690691,0.0,12.93250175690691,35,0.0,35.0
11400,9.166666666666666,220.0,252.1057923163587,85,220.0,117.1057923163587,72.90098574671379,72.90098574671379,0.0,5,0.0,5.0,64.19370582873134,64.19370582873134,0.0,18,0.0,18.0,51.389571933272215,51.389571933272215,0.0,12,0.0,12.0,50.46075943449435,31.51573649128266,18.94502294321169,15,0.0,15.0,13.160769373147016,0.0,13.160769373147016,35,0.0,35.0
11700,9.25,220.0,262.4803390667059,85,220.0,127.48033906670588,77.3732073903362,77.3732073903362,0.0,5,0.0,5.0,67.37119759094288,67.37119759094288,0.0,18,0.0,18.0,52.166830089544035,52.166830089544035,0.0,12,0.0,12.0,52.304170334495346,23.088764929176875,29.21540540531847,15,0.0,15.0,13.264933661387417,0.0,13.264933661387417,35,0.0,35.0
12000,9.333333333333334,220.0,255.09081574529282,85,220.0,120.0908157452928,70.68821166436165,70.68821166436165,0.0,5,0.0,5.0,65.2824608170169,65.2824608170169,0.0,18,0.0,18.0,53.61096522993665,53.61096522993665,0.0,12,0.0,12.0,52.440148352449626,30.41836228868482,22.021786063764807,15,0.0,15.0,13.069029681527997,0.0,13.069029681527997,35,0.0,35.0
